Name,Address,Type,License,Beds,Website,Avg. Violations
Addington Place at the Mills,"550 Barrington Dr, Roswell, GA 30075",Personal Care Home,PCH008668,75,https://www.cedarhurstliving.com/location/addington-place-the-mills/,8.4
Addington Place of Alpharetta,"762 N Main St, Alpharetta, GA 30009",Assisted Living Community,ALC000209,105,https://www.cedarhurstliving.com/location/addington-place-alpharetta/,5.6
Addington Place of Brunswick,"890 Scranton Rd, Brunswick, GA 31525",Assisted Living Community,ALC000223,65,https://www.cedarhurstliving.com/location/addington-place-brunswick/,2.0
Addington Place of Dublin,"212 Fairview Park Dr, Dublin, GA 31021",Assisted Living Community,ALC000214,72,https://www.cedarhurstliving.com/location/addington-place-dublin/,0.8
Addington Place of Johns Creek,"5050 Kimball Bridge Rd, Alpharetta, GA 30005",Assisted Living Community,ALC000279,72,https://www.cedarhurstliving.com/location/addington-place-johns-creek/,2.4
Alto Senior Living Alpharetta,"4125 North Point Pkwy, Alpharetta, GA 30022",Assisted Living Community,ALC000264,83,https://www.allegroliving.com/alto-alpharetta-georgia.html,3.6
Alto Senior Living Buckhead,"4804 Roswell Rd, Sandy Springs, GA 30342",Assisted Living Community,ALC000265,83,https://www.allegroliving.com/alto-buckhead-georgia.html,15.5
Alto Senior Living Marietta,"840 Lecroy Dr, Marietta, GA 30068",Assisted Living Community,ALC000266,62,https://www.allegroliving.com/alto-marietta-georgia.html,1.8
Antebellum Arlington Place,"684 Arlington Pl, Macon, GA 31201",Personal Care Home,PCH009095,120,https://www.ssmgrp.com/communities/georgia/antebellum-arlington-place/,8.0
Antebellum Grove Senior Living,"1010 Kathryn Ryals Rd, Warner Robins, GA 31088",Personal Care Home,76030051,69,https://www.ssmgrp.com/communities/georgia/antebellum-grove/,1.3
Antebellum James Burgess Senior Living,"1520 James Burgess Rd, Suwanee, GA 30024",Assisted Living Community,ALC000212,74,https://www.ssmgrp.com/communities/georgia/antebellum-james-burgess/,1.3
"Arbor Bridgemill, The","700 Freedom Blvd, Canton, GA 30114",Assisted Living Community,ALC000270,125,https://www.arborcompany.com/locations/georgia/canton-bridgemill,0.0
Arbor Manor Assisted Living Community,"1900 Macon Rd, Perry, GA 31069",Assisted Living Community,ALC000234,32,https://arbormanoralc.com,8.5
Arbor Terrace at Cascade,"1001 Research Center Drive Atlanta SW, Atlanta, GA 30331",Assisted Living Community,ALC000088,92,https://www.arborcompany.com/locations/georgia/atlanta-cascade,1.3
Arbor Terrace at Crabapple,"12200 Crabapple Rd, Alpharetta, GA 30004",Assisted Living Community,ALC000542,125,https://www.arborcompany.com/locations/georgia/alpharetta-crabapple,0.7
Arbor Terrace at Hamilton Mill,"3581 Braselton Hwy, Dacula, GA 30019",Assisted Living Community,ALC000198,125,https://www.arborcompany.com/locations/georgia/dacula-hamilton-mill,4.4
Arbor Terrace Decatur,"425 Winn Way, Decatur, GA 30030",Assisted Living Community,ALC000104,90,https://www.arborcompany.com/locations/georgia/decatur,4.3
Arbor Terrace of Athens,"170 Marilyn Farmer Way, Athens, GA 30606",Assisted Living Community,ALC000038,75,https://www.arborcompany.com/locations/georgia/athens,2.8
Arbor Terrace of Burnt Hickory,"920 Burnt Hickory Rd NW, Marietta, GA 30064",Assisted Living Community,ALC000244,112,https://www.arborcompany.com/locations/georgia/marietta-burnt-hickory,1.0
Arbor Terrace of East Cobb,"886 Johnson Ferry Rd, Marietta, GA 30068",Assisted Living Community,ALC000555,99,https://www.arborcompany.com/locations/georgia/marietta-east-cobb,1.6
Arbor Terrace of Johns Creek,"3180 Karen White Dr, Suwanee, GA 30024",Assisted Living Community,ALC000197,125,https://www.arborcompany.com/locations/georgia/suwanee-johns-creek,2.0
Arbor Terrace Peachtree City,"201 Crosstown Drive, Peachtree City, GA 30269",Personal Care Home,PCH008808,75,https://www.arborcompany.com/locations/georgia/peachtree-city,1.5
Ashbrook Village,"75 Herrell Rd, Villa Rica, GA 30180",Assisted Living Community,ALC000116,54,http://www.ashbrookvillage.com,0.3
Ashley Glen Senior Living and Memory Care,"441 Prime Point, Peachtree City, GA 30269",Personal Care Home,PCH008816,77,http://www.ashleyglen.com,2.5
Ashton Manor at Sugarloaf,"1155 Lawrenceville Hwy, Lawrenceville, GA 30046",Assisted Living Community,ALC000061,70,https://ashtonmanoratsugarloaf.com,9.8
"Ashton Senior Living, Gainesville","1012 Enota Ave NE, Gainesville, GA 30501",Assisted Living Community,ALC00195,65,http://www.ashtonseniorliving.com,15.0
At Home Senior Living,"147 S. 6th St, Cochran, GA 31014",Assisted Living Community,ALC000591,66,tel:478-271-4663,0.0
Atherton Place,"111 Tower Rd, Marietta, GA 30060",Personal Care Home,33030041,200,https://athertonplace.org,0.3
Atria Buckhead,"2848 Lenox Rd NE, Atlanta, GA 30324",Personal Care Home,PCH007987,76,https://www.atriaseniorliving.com/retirement-communities/atria-buckhead-atlanta-ga/,3.0
Atria Mableton,"3829 Floyd Rd, Austell, GA 30106",Personal Care Home,PCH008270,75,https://www.atriaseniorliving.com/retirement-communities/atria-mableton-austell-ga/,2.0
Atria North Point,"100 Somerby Dr, Alpharetta, GA 30009",Assisted Living Community,ALC000055,106,https://www.atriaseniorliving.com/retirement-communities/atria-north-point/,4.5
Atria Park of Tucker,"5844 Lawrenceville Hwy, Tucker, GA 30084",Personal Care Home,PCH008271,75,https://www.atriaseniorliving.com/retirement-communities/atria-tucker-tucker-ga/,1.5
Augusta Gardens Retirement Res,"3725 Wheeler Rd, Augusta, GA 30909",Personal Care Home,121030131,72,https://www.augustagardenscommunity.com,5.3
Autumn Breeze Senior Living,"2215 Old Hamilton Pl, Gainesville, GA 30507",Personal Care Home,69030041,55,https://www.autumnbreezeliving.com,10.3
Autumn Leaves of Towne Lake,"1962 Eagle Dr, Woodstock, GA 30189",Assisted Living Community,ALC000148,50,https://autumnleaves.com/communities/towne-lake/,2.8
Autumn Leaves of Windward,"3300 Webb Bridge Rd, Alpharetta, GA 30005",Assisted Living Community,ALC000236,52,https://autumnleaves.com/communities/windward/,1.0
Autumn Square,"2455 Oak Grove Church Rd, Carrollton, GA 30117",Personal Care Home,22030011,40,,0.7
Autumn Village Assisted Living Facility,"753 Covington St, Jackson, GA 30233",Personal Care Home,18030021,45,,4.0
Avery Place,"124 Avery St, Winterville, GA 30683",Assisted Living Community,ALC000205,61,http://www.enlivant.com/communities/georgia/avery-place-winterville,8.5
Azalea Estates of Fayetteville,"105 Autumn Glen Cir, Fayetteville, GA 30215",Personal Care Home,56030071,96,https://www.azaleaestates.com/senior-living/ga/fayetteville/autumn-glen-cir/,2.8
Azalea Manor Personal Care Home,"557 Waterman St SE, Marietta, GA 30060",Personal Care Home,PCH007180,42,,11.4
Baptist Village,"715 Village Lake Dr, Waycross, GA 31503",Personal Care Home,148030011,28,,0.0
Belmont Village Buckhead,"5455 Glenridge Dr, Atlanta, GA 30342",Personal Care Home,PCH008036,100,https://www.belmontvillage.com/locations/buckhead-atlanta-georgia/,1.3
Belmont Village Johns Creek,"4315 Johns Creek Pkwy, Suwanee, GA 30024",Personal Care Home,PCH008034,110,https://www.belmontvillage.com/locations/johns-creek-georgia/,0.5
Bentley Assisted Living at Northminster,"50 Sumner Way, Jefferson, GA 30549",Assisted Living Community,ALC000191,106,tel:706-389-1089,2.7
Benton House of Augusta,"204 Frazier Ct, Augusta, GA 30909",Assisted Living Community,ALC000580,95,tel:706-869-0999,0.8
Benton House of Covington,"7155 Dearing St SE, Covington, GA 30014",Assisted Living Community,ALC000553,72,tel:770-788-6660,2.5
Benton House of Decatur,"2711 Lawrenceville Hwy, Decatur, GA 30033",Assisted Living Community,ALC000259,80,tel:404-386-3773,2.0
Benton House of Douglasville,"4999 Prestley Mill Rd, Douglasville, GA 30135",Assisted Living Community,ALC000222,72,tel:770-942-9449,2.3
Benton House of Grayson,"2270 Loganville Hwy, Grayson, GA 30017",Assisted Living Community,ALC000579,80,tel:770-682-7777,5.7
Benton House of Newnan,"25 Newnan Lakes Blvd, Newnan, GA 30263",Personal Care Home,PCH008156,80,tel:770-683-2709,3.8
Benton House of Stockbridge,"201 Evergreen Terrace, Stockbridge, GA 30281",Assisted Living Community,ALC000545,64,tel:770-389-3889,0.8
