date,name,license,type,Num of Volations,High severe,Medium severe,Harm,Prev1,Prev2,Prev3
12/9/19,Addington Place at the Mills,PCH008668,routine,-,0,0,0,0,0,0
6/20/19,Addington Place at the Mills,PCH008668,complaint,1,1,0,1,0,0,0
6/3/19,Addington Place at the Mills,PCH008668,complaint,2,1,1,1,0,0,0
4/12/19,Addington Place at the Mills,PCH008668,Routine / Complaint,6,2,3,0,1,0,0
1/12/18,Addington Place at the Mills,PCH008668,complaint,1,0,1,0,0,0,0
12/19/17,Addington Place at the Mills,PCH008668,other,-,0,0,0,0,0,0
12/18/17,Addington Place at the Mills,PCH008668,complaint,-,0,0,0,0,0,0
12/7/17,Addington Place at the Mills,PCH008668,complaint,-,0,0,0,0,0,0
9/18/17,Addington Place at the Mills,PCH008668,complaint,4,1,1,0,0,0,0
9/8/17,Addington Place at the Mills,PCH008668,complaint,-,0,0,0,0,0,0
8/1/17,Addington Place at the Mills,PCH008668,Routine / Complaint,8,2,3,1,0,0,0
8/24/16,Addington Place at the Mills,PCH008668,routine,2,0,2,0,0,0,0
4/19/16,Addington Place at the Mills,PCH008668,other,3,1,1,0,0,1,0
11/3/15,Addington Place at the Mills,PCH008668,complaint,-,0,0,0,0,0,0
7/2/15,Addington Place at the Mills,PCH008668,routine,15,0,6,0,0,0,0
7/31/19,Addington Place of Alpharetta,ALC000209,Routine / Complaint,5,1,1,0,0,0,0
10/30/18,Addington Place of Alpharetta,ALC000209,other,-,0,0,0,0,0,0
9/14/18,Addington Place of Alpharetta,ALC000209,other,-,0,0,0,0,0,0
5/15/18,Addington Place of Alpharetta,ALC000209,complaint,1,1,0,0,0,0,0
1/31/18,Addington Place of Alpharetta,ALC000209,routine,-,0,0,0,0,0,0
7/10/17,Addington Place of Alpharetta,ALC000209,other,3,0,1,0,0,0,0
2/9/17,Addington Place of Alpharetta,ALC000209,routine,13,0,3,0,0,0,0
1/27/16,Addington Place of Alpharetta,ALC000209,other,-,0,0,0,0,0,0
9/9/15,Addington Place of Alpharetta,ALC000209,Routine / Complaint,2,0,2,0,0,0,0
1/8/15,Addington Place of Alpharetta,ALC000209,routine,4,0,1,0,0,0,0
10/22/19,Addington Place of Brunswick,ALC000223,routine,-,0,0,0,0,0,0
4/2/19,Addington Place of Brunswick,ALC000223,routine,6,2,1,1,0,0,0
2/7/17,Addington Place of Brunswick,ALC000223,routine,1,0,0,0,0,0,0
10/17/16,Addington Place of Brunswick,ALC000223,complaint,1,0,1,0,0,0,0
8/11/16,Addington Place of Brunswick,ALC000223,routine,2,1,0,0,0,0,0
9/30/15,Addington Place of Brunswick,ALC000223,other,-,0,0,0,0,0,0
7/7/15,Addington Place of Brunswick,ALC000223,routine,-,0,0,0,0,0,0
11/20/18,Addington Place of Dublin,ALC000214,routine,-,0,0,0,0,0,0
7/5/17,Addington Place of Dublin,ALC000214,routine,-,0,0,0,0,0,0
2/14/17,Addington Place of Dublin,ALC000214,routine,-,0,0,0,0,0,0
11/18/15,Addington Place of Dublin,ALC000214,other,-,0,0,0,0,0,0
8/27/15,Addington Place of Dublin,ALC000214,routine,-,0,0,0,0,0,0
5/11/15,Addington Place of Dublin,ALC000214,routine,4,0,2,0,0,0,0
10/30/19,Addington Place of Johns Creek,ALC000279,Routine / Complaint,1,1,0,1,0,0,0
4/24/18,Addington Place of Johns Creek,ALC000279,routine,-,0,0,0,0,0,0
